number,region,comps_attended,sigs_attended,worlds_qual,trueskill,trueskill_ranking,opr,dpr,ccwm,ap_per_match,awp_per_match,wp_per_match,drive_score,auto_score
1493D,United Kingdom,7,0,False,19.6,3703.0,12.0,10.9,1.1,1.8,0.0,1.1,42.0,0.0
1875N,United Kingdom,14,0,True,26.4,79.0,16.9,6.5,10.4,3.2,0.09,1.5,45.0,13.0
2472A,United Kingdom,7,0,False,20.4,2925.0,7.1,8.1,-1.0,3.1,0.0,1.1,21.0,0.0
3110C,United Kingdom,8,0,False,19.5,3781.0,4.4,8.8,-4.3,2.5,0.02,0.9,30.0,9.0
3116J,United Kingdom,6,0,False,18.1,5246.0,2.8,11.4,-8.6,2.2,0.02,0.5,18.0,10.0
3116Z,United Kingdom,8,0,False,20.8,2544.0,4.7,9.9,-5.2,2.7,0.02,0.9,29.0,16.0
6023F,United Kingdom,5,0,False,22.2,1468.0,10.8,6.5,4.4,3.0,0.03,1.4,23.0,16.0
6023R,United Kingdom,6,0,False,19.6,3703.0,11.3,8.8,2.5,3.0,0.03,1.0,26.0,0.0
6493A,United Kingdom,8,0,False,21.4,2059.0,9.4,10.5,-1.1,3.2,0.0,1.0,20.0,3.0
8346D,United Kingdom,4,0,False,19.7,3601.0,7.9,11.5,-3.6,3.6,0.04,1.0,29.0,4.0
10137X,United Kingdom,6,0,False,18.9,4403.0,4.1,14.2,-10.1,2.1,0.0,0.6,23.0,8.0
10478B,United Kingdom,5,0,False,20.3,3012.0,7.3,6.3,1.0,2.8,0.0,1.0,37.0,0.0
10478S,United Kingdom,6,0,True,23.1,942.0,14.3,8.0,6.3,3.2,0.03,1.4,47.0,15.0
13765T,United Kingdom,6,0,False,21.8,1761.0,8.0,9.4,-1.5,2.8,0.03,0.9,44.0,14.0
13765X,United Kingdom,11,0,True,25.8,138.0,19.0,5.2,13.8,3.9,0.2,1.8,53.0,42.0
15650C,United Kingdom,12,0,True,26.9,36.0,21.3,7.1,14.2,4.6,0.17,2.0,49.0,43.0
17711C,United Kingdom,11,0,False,21.5,1966.0,9.2,10.7,-1.5,2.9,0.07,0.9,35.0,17.0
17711E,United Kingdom,12,0,True,26.6,54.0,17.9,6.9,11.0,4.3,0.39,2.1,47.0,24.0
18650G,United Kingdom,5,0,False,19.3,3976.0,8.9,11.8,-2.8,3.4,0.04,0.9,27.0,13.0
20785A,United Kingdom,8,0,False,23.4,811.0,14.5,9.9,4.6,3.6,0.08,1.3,45.0,34.0
23218B,United Kingdom,8,0,True,21.4,2059.0,11.8,6.4,5.4,3.9,0.12,1.4,27.0,24.0
29457A,United Kingdom,13,0,True,24.6,390.0,14.1,4.4,9.7,3.2,0.06,1.6,52.0,4.0
37596A,United Kingdom,4,0,False,18.2,5141.0,6.2,13.7,-7.5,2.4,0.04,0.7,23.0,0.0
39475C,United Kingdom,5,0,True,19.3,3976.0,12.2,9.2,3.1,2.4,0.0,1.2,46.0,29.0
46846P,United Kingdom,6,0,False,20.2,3106.0,8.1,8.6,-0.5,3.4,0.08,1.1,36.0,0.0
46846T,United Kingdom,9,0,True,25.5,188.0,18.1,4.9,13.2,4.2,0.15,1.8,49.0,13.0
55609A,United Kingdom,3,0,False,18.9,4403.0,10.0,12.5,-2.5,3.0,0.0,1.0,34.0,5.0
58053H,United Kingdom,4,0,False,16.8,6719.0,2.4,13.8,-11.4,1.2,0.0,0.6,26.0,0.0
66618Z,United Kingdom,8,0,False,23.5,767.0,11.9,6.8,5.1,3.0,0.0,1.2,41.0,8.0
71368A,United Kingdom,7,0,False,20.9,2458.0,8.3,6.9,1.3,3.6,0.03,1.1,24.0,0.0
80745A,United Kingdom,3,0,False,17.0,6492.0,9.8,8.5,1.3,2.5,0.0,0.8,23.0,0.0
83697A,United Kingdom,6,0,False,19.6,3703.0,4.1,13.4,-9.2,2.4,0.0,0.7,28.0,0.0
84899C,United Kingdom,6,0,True,24.8,334.0,19.9,9.4,10.5,4.4,0.22,1.7,44.0,35.0
84899D,United Kingdom,6,0,True,20.5,2838.0,10.1,12.3,-2.2,2.4,0.03,1.0,46.0,28.0
84899E,United Kingdom,4,0,False,21.2,2203.0,13.6,11.7,1.9,4.4,0.2,1.5,34.0,25.0
1860A,Texas,12,2,False,21.1,2288.0,6.2,10.1,-3.9,2.8,0.04,0.9,24.0,10.0
1860B,Texas,12,2,False,21.0,2371.0,5.8,11.3,-5.5,1.8,0.03,0.8,30.0,11.0
1860C,Texas,12,2,False,21.8,1761.0,8.9,9.8,-0.9,2.4,0.04,1.1,29.0,0.0
2522A,Texas,4,0,False,18.8,4503.0,7.7,7.6,0.1,3.5,0.0,1.0,35.0,16.0
3269A,Texas,9,0,True,26.3,89.0,20.5,4.7,15.8,4.0,0.07,1.8,47.0,26.0
3269B,Texas,9,0,True,23.5,767.0,14.4,8.4,6.0,3.1,0.02,1.3,50.0,29.0
4378A,Texas,12,0,True,23.0,986.0,9.3,8.0,1.4,3.3,0.05,1.2,38.0,11.0
4378B,Texas,7,0,False,22.8,1104.0,10.9,7.7,3.2,3.9,0.03,1.4,31.0,8.0
4378X,Texas,10,0,False,22.2,1468.0,7.8,8.8,-1.1,2.8,0.02,1.0,30.0,5.0
5912A,Texas,8,0,False,19.3,3976.0,3.7,7.0,-3.3,2.6,0.0,0.7,23.0,0.0
6127A,Texas,7,1,False,22.1,1546.0,9.2,10.4,-1.1,2.3,0.0,0.9,31.0,4.0
6127B,Texas,7,1,False,23.6,730.0,13.6,7.8,5.8,3.5,0.06,1.4,45.0,6.0
6127C,Texas,7,0,False,21.5,1966.0,7.2,9.4,-2.2,2.4,0.0,1.3,29.0,0.0
6127D,Texas,6,0,False,20.3,3012.0,5.1,9.8,-4.7,3.1,0.0,0.9,32.0,0.0
8787E,Texas,7,0,False,23.9,611.0,15.4,2.7,12.8,4.9,0.06,1.7,33.0,3.0
8787S,Texas,5,0,False,19.1,4178.0,7.9,9.6,-1.7,2.0,0.0,1.0,31.0,3.0
8787Z,Texas,6,0,False,20.4,2925.0,7.2,9.2,-2.0,3.1,0.0,1.0,28.0,5.0
18020A,Texas,9,0,False,22.9,1042.0,8.4,5.1,3.3,3.3,0.04,1.2,28.0,0.0
40217B,Texas,7,0,False,20.9,2458.0,4.5,5.6,-1.0,3.6,0.0,1.3,17.0,9.0
72203A,Texas,9,0,False,20.8,2544.0,10.0,7.8,2.2,2.6,0.0,1.0,34.0,12.0
72203B,Texas,8,0,False,22.4,1363.0,7.8,6.9,0.9,2.9,0.02,1.1,30.0,12.0
74762A,Texas,7,0,True,22.8,1104.0,13.2,7.5,5.7,3.4,0.0,1.2,50.0,19.0
74762B,Texas,6,0,False,23.5,767.0,11.3,7.7,3.6,3.0,0.0,1.2,43.0,12.0
74762D,Texas,6,0,True,22.5,1313.0,8.2,6.4,1.8,3.5,0.0,1.3,40.0,3.0
74762E,Texas,5,0,False,21.1,2288.0,9.9,5.8,4.1,3.0,0.0,1.2,39.0,15.0
75775A,Texas,3,0,False,19.6,3703.0,11.8,8.0,3.9,4.1,0.07,1.4,23.0,0.0
79912A,Texas,11,0,False,19.3,3976.0,3.6,9.1,-5.5,2.4,0.0,0.6,30.0,0.0
79912B,Texas,10,0,False,20.6,2734.0,3.2,7.6,-4.5,2.2,0.0,0.8,26.0,0.0
79912C,Texas,13,0,True,27.7,7.0,22.5,2.6,19.9,4.5,0.05,2.0,46.0,35.0
79912D,Texas,13,0,True,23.7,695.0,8.4,4.9,3.5,3.2,0.03,1.3,37.0,0.0
87217A,Texas,5,0,False,22.2,1468.0,16.0,8.1,7.9,3.3,0.09,1.2,33.0,16.0
91532A,Texas,8,0,False,21.0,2371.0,6.0,6.9,-1.0,2.4,0.02,1.0,35.0,13.0
97155G,Texas,7,0,False,19.1,4178.0,5.5,8.7,-3.2,2.3,0.04,1.0,23.0,8.0
97155H,Texas,8,0,False,21.2,2203.0,6.1,8.2,-2.1,2.6,0.0,1.0,21.0,4.0
97155M,Texas,5,0,False,21.8,1761.0,10.9,7.1,3.8,3.9,0.11,1.6,39.0,13.0
97155N,Texas,5,0,False,16.8,6719.0,4.4,9.5,-5.1,2.6,0.04,0.7,25.0,0.0
99499A,Texas,11,0,False,23.1,942.0,9.6,7.3,2.3,3.3,0.04,1.3,28.0,7.0
1082E,Texas,10,2,True,26.8,41.0,19.4,10.8,8.6,4.4,0.3,1.9,63.0,52.0
1082G,Texas,6,0,False,21.5,1966.0,13.4,9.3,4.0,2.7,0.05,1.3,48.0,27.0
1082J,Texas,9,2,True,23.0,986.0,13.8,13.3,0.6,2.8,0.11,1.3,52.0,19.0
1082M,Texas,9,2,True,25.3,220.0,21.9,10.3,11.6,4.6,0.4,2.0,60.0,53.0
